country,admin1,admin2,admin3,time,time_precision,total_births,average_births_per_1km
Ethiopia,Amhara,Agew Awi,Guangua,2015-01-01T00:00:00,year,8543.011537015438,3.081894493872813
Ethiopia,Amhara,Agew Awi,Jawi,2015-01-01T00:00:00,year,5072.411879397929,1.326814512005736
Ethiopia,Amhara,Argoba,Argoba,2015-01-01T00:00:00,year,2770.503889322281,7.632242119345126
Ethiopia,Amhara,Bahir Dar Special Zone,Bahir Dar,2015-01-01T00:00:00,year,4926.787506103516,492.6787506103516
Ethiopia,Amhara,Debub Gondar,Dera,2015-01-01T00:00:00,year,10210.834111254662,5.469113075123011
Ethiopia,Amhara,Debub Gondar,East Esite,2015-01-01T00:00:00,year,8606.496870040894,5.714805358592891
Ethiopia,Amhara,Debub Gondar,Ebenat,2015-01-01T00:00:00,year,9915.840076565742,3.2953938439899444
Ethiopia,Amhara,Debub Gondar,Farta,2015-01-01T00:00:00,year,10092.916182160378,6.970245982154957
Ethiopia,Amhara,Debub Gondar,Fogera,2015-01-01T00:00:00,year,9177.71497938037,7.016601666192943
Ethiopia,Amhara,Debub Gondar,Lay Gayint,2015-01-01T00:00:00,year,10159.977576255798,5.539791481055506
Ethiopia,Amhara,Debub Gondar,Libo Kemkem,2015-01-01T00:00:00,year,7407.686742678285,6.106914050023318
Ethiopia,Amhara,Debub Gondar,Simada,2015-01-01T00:00:00,year,9938.570067167282,3.7363045365290533
Ethiopia,Amhara,Debub Gondar,Tach Gayint,2015-01-01T00:00:00,year,4061.9046273231506,4.284709522492775
Ethiopia,Amhara,Debub Gondar,West Esite,2015-01-01T00:00:00,year,5172.710773229599,4.693929921260979
Ethiopia,Amhara,Debub Wollo,Albuko,2015-01-01T00:00:00,year,638.7550106532872,1.1550723519950943
Ethiopia,Amhara,Debub Wollo,Ambasel,2015-01-01T00:00:00,year,5466.235772013664,5.075427829167747
Ethiopia,Amhara,Debub Wollo,Debresina,2015-01-01T00:00:00,year,6449.763195991516,5.493835771713387
Ethiopia,Amhara,Debub Wollo,Dessie Zuria,2015-01-01T00:00:00,year,12734.240341424942,8.794364876674683
Ethiopia,Amhara,Debub Wollo,Jama,2015-01-01T00:00:00,year,4782.956101179123,3.8603358363027627
Ethiopia,Amhara,Debub Wollo,Kalu,2015-01-01T00:00:00,year,10846.8369358778,9.763129555245545
Ethiopia,Amhara,Debub Wollo,Kelela,2015-01-01T00:00:00,year,5846.931530594826,3.0887118492312866
Ethiopia,Amhara,Debub Wollo,Kutaber,2015-01-01T00:00:00,year,4724.873675584793,5.356999632182305
Ethiopia,Amhara,Debub Wollo,Legambo,2015-01-01T00:00:00,year,6614.548787474632,5.639001523848791
Ethiopia,Amhara,Debub Wollo,Legehida,2015-01-01T00:00:00,year,1975.9507818222046,4.295545177874358
Ethiopia,Amhara,Debub Wollo,Mehal Sayint,2015-01-01T00:00:00,year,2689.329929590225,3.6689357838884384
Ethiopia,Amhara,Debub Wollo,Mekdela,2015-01-01T00:00:00,year,5820.839259445667,3.305416955960061
Ethiopia,Amhara,Debub Wollo,Sayint,2015-01-01T00:00:00,year,6191.59748840332,3.523959868186295
Ethiopia,Amhara,Debub Wollo,Tenta,2015-01-01T00:00:00,year,7162.034334659576,4.512939089262493
Ethiopia,Amhara,Debub Wollo,Thehulederie,2015-01-01T00:00:00,year,5274.215474285185,10.046124712924163
Ethiopia,Amhara,Debub Wollo,Wegde,2015-01-01T00:00:00,year,5057.506374835968,3.863641233640923
Ethiopia,Amhara,Debub Wollo,Were Ilu,2015-01-01T00:00:00,year,4586.091673254967,5.023101504112779
Ethiopia,Amhara,Debub Wollo,Worebabu,2015-01-01T00:00:00,year,5073.865388393402,5.675464640261076
Ethiopia,Amhara,Mirab Gojjam,Bahir Dar Zuria,2015-01-01T00:00:00,year,10546.22451937152,4.988753320421722
Ethiopia,Amhara,Mirab Gojjam,Bure,2015-01-01T00:00:00,year,4167.099730879068,4.368029068007409
Ethiopia,Amhara,Mirab Gojjam,Debub Achefer,2015-01-01T00:00:00,year,6182.998243570328,4.329830702780342
Ethiopia,Amhara,Mirab Gojjam,Dega Damot,2015-01-01T00:00:00,year,6281.2764303684235,6.44233480037787
Ethiopia,Amhara,Mirab Gojjam,Dembecha,2015-01-01T00:00:00,year,4963.587052345276,4.319919105609466
Ethiopia,Amhara,Mirab Gojjam,Jabi Tehnan,2015-01-01T00:00:00,year,9653.149181127548,6.736321829119015
Ethiopia,Amhara,Mirab Gojjam,Mecha,2015-01-01T00:00:00,year,11355.281569838524,6.333118555403527
Ethiopia,Amhara,Mirab Gojjam,Quarit,2015-01-01T00:00:00,year,4703.887034416199,6.417308368917052
Ethiopia,Amhara,Mirab Gojjam,Sekela,2015-01-01T00:00:00,year,5302.255506813526,5.7948147615448375
Ethiopia,Amhara,Mirab Gojjam,Semen Achefer,2015-01-01T00:00:00,year,5490.558675169945,3.950042212352478
Ethiopia,Amhara,Mirab Gojjam,Wemberma,2015-01-01T00:00:00,year,5753.144813627005,3.5756027430870136
Ethiopia,Amhara,Mirab Gojjam,Yilmana Densa,2015-01-01T00:00:00,year,12299.233548641205,7.386927056240964
Ethiopia,Amhara,Misraq Gojjam,Aneded,2015-01-01T00:00:00,year,3506.2939492464066,4.524250257092137
Ethiopia,Amhara,Misraq Gojjam,Awabel,2015-01-01T00:00:00,year,4704.846673965454,4.835402542616088
Ethiopia,Amhara,Misraq Gojjam,Baso Liben,2015-01-01T00:00:00,year,4611.099670171738,3.490612922158772
Ethiopia,Amhara,Misraq Gojjam,Bibugn,2015-01-01T00:00:00,year,4132.929121494293,8.61026900311311
Ethiopia,Amhara,Misraq Gojjam,Debay Telatgen,2015-01-01T00:00:00,year,4564.687201976776,6.102522997295155
Ethiopia,Amhara,Misraq Gojjam,Debre Elias,2015-01-01T00:00:00,year,4931.360099077225,3.604795394062299
Ethiopia,Amhara,Misraq Gojjam,Dejen,2015-01-01T00:00:00,year,4319.777144193649,5.790585984173792
Ethiopia,Amhara,Misraq Gojjam,Enarj Enawga,2015-01-01T00:00:00,year,6164.766235113144,5.470067644288504
Ethiopia,Amhara,Misraq Gojjam,Enbise Sar Midir,2015-01-01T00:00:00,year,5395.385732412338,4.221741574657542
Ethiopia,Amhara,Misraq Gojjam,Enemay,2015-01-01T00:00:00,year,6292.085130691528,7.28250593830038
Ethiopia,Amhara,Misraq Gojjam,Goncha Siso Enese,2015-01-01T00:00:00,year,5703.403396606445,4.487335481200979
Ethiopia,Amhara,Misraq Gojjam,Gonje,2015-01-01T00:00:00,year,1721.5174379348755,5.93626702736164
Ethiopia,Amhara,Misraq Gojjam,Guzamn,2015-01-01T00:00:00,year,7610.427371382713,6.243172577016172
Ethiopia,Amhara,Misraq Gojjam,Hulet Ej Enese,2015-01-01T00:00:00,year,10115.248873591423,5.8878049322418065
Ethiopia,Amhara,Misraq Gojjam,Michakel,2015-01-01T00:00:00,year,3274.641842842102,4.1451162567621544
Ethiopia,Amhara,Misraq Gojjam,Senan,2015-01-01T00:00:00,year,3923.280930042267,4.259805570078465
Ethiopia,Amhara,Misraq Gojjam,Shebel Bereta,2015-01-01T00:00:00,year,3776.892922401428,3.549711393234425
Ethiopia,Amhara,North Shewa,Angolelana Tera,2015-01-01T00:00:00,year,3989.554634332657,3.993548182515172
Ethiopia,Amhara,North Shewa,Ankober,2015-01-01T00:00:00,year,2935.431560099125,3.5112817704534987
Ethiopia,Amhara,North Shewa,Antsokiya,2015-01-01T00:00:00,year,3441.864445924759,7.682733138224909
Ethiopia,Amhara,North Shewa,Assagirt,2015-01-01T00:00:00,year,1696.3026585578918,2.7717363701926336
Ethiopia,Amhara,North Shewa,Basona Worena,2015-01-01T00:00:00,year,7880.3429518938065,4.925214344933629
Ethiopia,Amhara,North Shewa,Berehet,2015-01-01T00:00:00,year,1705.301009118557,1.845563862682421
Ethiopia,Amhara,North Shewa,Eferatana Gidem,2015-01-01T00:00:00,year,5261.237701892853,8.639142367640153
Ethiopia,Amhara,North Shewa,Ensaro,2015-01-01T00:00:00,year,2006.3325188159943,4.214984283226879
Ethiopia,Amhara,North Shewa,Gishe Rabel,2015-01-01T00:00:00,year,2430.4726380109787,3.026740520561617
Ethiopia,Amhara,North Shewa,Hagere Mariam,2015-01-01T00:00:00,year,2282.903762817383,2.8011089114323715
Ethiopia,Amhara,North Shewa,Kewet,2015-01-01T00:00:00,year,4857.02586889267,5.602105961813921
Ethiopia,Amhara,North Shewa,Menz Gera Midir,2015-01-01T00:00:00,year,4310.225574910641,3.3028548466748204
Ethiopia,Amhara,North Shewa,Menz Keya Gabriel,2015-01-01T00:00:00,year,2187.0396978855133,3.3907592215279276
Ethiopia,Amhara,North Shewa,Menz Lalo Midir,2015-01-01T00:00:00,year,1709.4070061445236,3.8156406387154544
Ethiopia,Amhara,North Shewa,Menz Mama Midir,2015-01-01T00:00:00,year,3382.391035079956,4.450514519842048
Ethiopia,Amhara,North Shewa,Merahbete,2015-01-01T00:00:00,year,5116.194885909557,4.231757556583587
Ethiopia,Amhara,North Shewa,Mimo Weremo,2015-01-01T00:00:00,year,3649.5874361991882,3.617034129037848
Ethiopia,Amhara,North Shewa,Minjar Shenkora,2015-01-01T00:00:00,year,6192.972119987011,3.0795485430069673
Ethiopia,Amhara,North Shewa,Mojan Wedera,2015-01-01T00:00:00,year,3135.699567914009,4.237431848532445
Ethiopia,Amhara,North Shewa,Moretna Jiru,2015-01-01T00:00:00,year,3736.8938440084457,4.469968712928763
Ethiopia,Amhara,North Shewa,Siya Debirna Wayu,2015-01-01T00:00:00,year,2455.51205432415,4.353744777170479
Ethiopia,Amhara,North Shewa,Tarema Ber,2015-01-01T00:00:00,year,3683.7259259819984,5.225143157421274
Ethiopia,Amhara,Oromia,Artuma Fursi,2015-01-01T00:00:00,year,3172.170709013939,4.184921779701766
Ethiopia,Amhara,Oromia,Bati,2015-01-01T00:00:00,year,5789.805748820305,4.263479932857368
Ethiopia,Amhara,Oromia,Dewa Cheffa,2015-01-01T00:00:00,year,5321.980362921953,6.702746049020092
Ethiopia,Amhara,Oromia,Dewa Harewa,2015-01-01T00:00:00,year,2546.3801167607307,4.490970223563899
Ethiopia,Amhara,Oromia,Jille Timuga,2015-01-01T00:00:00,year,4314.127277851105,4.229536546912848
Ethiopia,Amhara,Semen Gondar,Addi Arekay,2015-01-01T00:00:00,year,3203.2879203483462,2.026115066633995
Ethiopia,Amhara,Semen Gondar,Alfa,2015-01-01T00:00:00,year,4030.12380617857,1.786402396355749
Ethiopia,Amhara,Semen Gondar,Beyeda,2015-01-01T00:00:00,year,3721.3782083541155,2.589685600803142
Ethiopia,Amhara,Semen Gondar,Chilga,2015-01-01T00:00:00,year,8173.65360468626,2.120823457365402
Ethiopia,Amhara,Semen Gondar,Dabat,2015-01-01T00:00:00,year,5853.650584757328,4.025894487453458
Ethiopia,Amhara,Semen Gondar,Debark,2015-01-01T00:00:00,year,6047.648341119289,3.2202600325448825
Ethiopia,Amhara,Semen Gondar,Dembia,2015-01-01T00:00:00,year,10599.660198932514,6.842905228490971
Ethiopia,Amhara,Semen Gondar,East Belesa,2015-01-01T00:00:00,year,5218.69814568758,2.2889026954770086
Ethiopia,Amhara,Semen Gondar,Gonder Zuria,2015-01-01T00:00:00,year,15099.681607700884,8.850927085404972
Ethiopia,Amhara,Semen Gondar,Janamora,2015-01-01T00:00:00,year,6090.516274631023,2.8341164609730214
Ethiopia,Amhara,Semen Gondar,Lay Armacho,2015-01-01T00:00:00,year,5836.582197368145,4.658086350652949
Ethiopia,Amhara,Semen Gondar,Metema,2015-01-01T00:00:00,year,2746.715807378292,0.6074117221093083
Ethiopia,Amhara,Semen Gondar,Mirab Armacho,2015-01-01T00:00:00,year,1030.8672221004963,0.3331826832903996
Ethiopia,Amhara,Semen Gondar,Quara,2015-01-01T00:00:00,year,1874.2141020670533,0.18494317170584698
Ethiopia,Amhara,Semen Gondar,Tach Armacho,2015-01-01T00:00:00,year,2128.490655645728,0.6759258989030575
Ethiopia,Amhara,Semen Gondar,Takusa,2015-01-01T00:00:00,year,3705.0161969810724,1.6430227037610077
Ethiopia,Amhara,Semen Gondar,Tsegede,2015-01-01T00:00:00,year,1445.6107606738806,0.6162023702787215
Ethiopia,Amhara,Semen Gondar,Tselemt,2015-01-01T00:00:00,year,1585.3338522315025,2.064236786759769
Ethiopia,Amhara,Semen Gondar,Wegera,2015-01-01T00:00:00,year,9026.690356194973,3.948683445404625
Ethiopia,Amhara,Semen Gondar,West Belesa,2015-01-01T00:00:00,year,3866.6335886120796,2.8141438053945267
Ethiopia,Amhara,Semen Wello,Bugna,2015-01-01T00:00:00,year,3794.5541293621063,2.651680034494833
Ethiopia,Amhara,Semen Wello,Dawunt,2015-01-01T00:00:00,year,2648.352335393429,3.5740247441206865
Ethiopia,Amhara,Semen Wello,Delanta,2015-01-01T00:00:00,year,4950.432615876198,3.9226882851633897
Ethiopia,Amhara,Semen Wello,Gidan,2015-01-01T00:00:00,year,6615.976176738739,4.485407577449992
Ethiopia,Amhara,Semen Wello,Guba Lafto,2015-01-01T00:00:00,year,8265.99602341652,6.865445202173189
